path,url,retrieved_utc,sha256,bytes,http
output/predictions/distilbert__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/distilbert__sec_synthetic.csv,2026-09-05T11:24:14.868755+00:00,e908cb7812756777d951b7d0b8c960e4394eb8d99ae2e5374d9ddff8edac1673,344979,200
output/predictions/distilbert_full__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/distilbert_full__fever_test.csv,2026-09-05T11:24:16.195929+00:00,4af22c80d3b83bb966547d5883b72b4f0b1d03059b6bff1cfcd2e1b44f45b792,1686770,200
output/predictions/distilbert_full__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/distilbert_full__finfact_test.csv,2026-09-05T11:24:17.328671+00:00,e1a8abef1acd3bf857e99bf791277b2ae9c74fc174f7fb3333ffd1ec3a5e264f,352991,200
output/predictions/distilbert_full__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/distilbert_full__sec_synthetic.csv,2026-09-05T11:24:18.493984+00:00,2d8eb52f7defc137149f857b88b97fff8142a614c8e176486482a434a9ba98c6,344926,200
output/predictions/lexical_baseline__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/lexical_baseline__fever_test.csv,2026-09-05T11:24:19.844038+00:00,d8b50cac4eefd2bdd16cbeab93259bccfb31fbab1df8beeaa6f73c3b4263a368,1709690,200
output/predictions/lexical_baseline__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/lexical_baseline__finfact_test.csv,2026-09-05T11:24:21.205820+00:00,78684df70d00c00dd7dda6d0106417282a73fda8d9d68b92ff0328d93378c56c,357975,200
output/predictions/lexical_baseline__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/lexical_baseline__sec_synthetic.csv,2026-09-05T11:24:22.386163+00:00,14917412a76b7298b184e24e9deda67171b52f7cb5901e39d3f04e78c5bfae4a,347078,200
output/predictions/linear_svm__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/linear_svm__fever_test.csv,2026-09-05T11:24:23.757163+00:00,8273d56c3dd477a80576504d417fe1aac2ed7799b2d762b9bd6ee26505b92b4d,1698884,200
output/predictions/linear_svm__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/linear_svm__finfact_test.csv,2026-09-05T11:24:24.975562+00:00,bae90ef2800aad7666f2c9d4a59cc82ec6cc94d463ccbe2ce23483824d9da2cc,368814,200
output/predictions/linear_svm__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/linear_svm__sec_synthetic.csv,2026-09-05T11:24:26.060331+00:00,dbe835b225e621f384329496314f8b2b63b00c03e0c3357e213735a996c23d73,353253,200
output/predictions/logreg__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/logreg__fever_test.csv,2026-09-05T11:24:27.386055+00:00,6b8dbb7d5a87fc91e50d0f0c93770575179d505d590a8ab8844ebc20a34981b1,1698847,200
output/predictions/logreg__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/logreg__finfact_test.csv,2026-09-05T11:24:28.565140+00:00,b17135e8b082f86bac9b2b718e16c0a4268bbb8d1b5bc47097b33c7957526bb4,368291,200
output/predictions/logreg__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/logreg__sec_synthetic.csv,2026-09-05T11:24:29.693936+00:00,c3784d4dc2902df2931fe03da37472ccd3286342aa0c94be21075065d4275c8f,353237,200
output/predictions/naive_bayes__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/naive_bayes__fever_test.csv,2026-09-05T11:24:30.973655+00:00,fd1d544f3c1ece9de84de38a09c60068cd6283fe1d3f52d5679deb3b730c7204,1696788,200
output/predictions/naive_bayes__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/naive_bayes__finfact_test.csv,2026-09-05T11:24:32.170576+00:00,558487ccb3236c87e762d726b320f24a70ad291b827ea7d79bb27d477bb7324a,372555,200
output/predictions/naive_bayes__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/naive_bayes__sec_synthetic.csv,2026-09-05T11:24:33.284088+00:00,5baf02be6265c682e4569d92f8211e462baabdaadd3936c1476d0f061f31666e,353902,200
output/predictions/random_forest__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/random_forest__fever_test.csv,2026-09-05T11:24:34.638314+00:00,b8bfdede768078668c2bfca2036e6a11ba8886183572defaf37e63ba23e9fd6a,1688482,200
output/predictions/random_forest__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/random_forest__finfact_test.csv,2026-09-05T11:24:35.833324+00:00,d57643ea70b5694353bede247a1bd0624f2588fa7448c55f7dee385b5304e05d,364436,200
output/predictions/random_forest__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/random_forest__sec_synthetic.csv,2026-09-05T11:24:36.970005+00:00,3519af51c4821536b0e0677c2e8b6ca18e830dfb22662744d1e6246cff27ca4d,352977,200
output/predictions/voting_ensemble__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/voting_ensemble__fever_test.csv,2026-09-05T11:24:38.384487+00:00,051123debb2b13165b0f45e8a6320759b27e2118296d38d1f3968e28b3b82c57,1699091,200
output/predictions/voting_ensemble__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/voting_ensemble__finfact_test.csv,2026-09-05T11:24:39.600885+00:00,7ca6e6f756c9ae99da3d9cb23e559e47850709ee769f2f347ca5ec209e211668,369690,200
output/predictions/voting_ensemble__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/voting_ensemble__sec_synthetic.csv,2026-09-05T11:24:40.698404+00:00,bd1ebd4f7f6ccac788a2a7792165ddffb9d6d8440b7360763b498cb05ef2af92,353501,200
output/predictions/voting_ensemble_calsvm__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/voting_ensemble_calsvm__fever_test.csv,2026-09-05T11:24:42.023915+00:00,85beca52894ce65fb8740bd3f6ee380501e07a47bd318437ab7240455dbd6f50,1698834,200
output/predictions/voting_ensemble_calsvm__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/voting_ensemble_calsvm__finfact_test.csv,2026-09-05T11:24:43.144944+00:00,6bd3bbe0a35f85d97461a0c5bc80f9e5f0418821826384d03df6386029bb0c7e,369663,200
output/predictions/voting_ensemble_calsvm__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/voting_ensemble_calsvm__sec_synthetic.csv,2026-09-05T11:24:44.347951+00:00,e928cae052c9e73b3fc05b0bce20b1b0ea1fa04b3434763c3875e949c6e4d5ea,353466,200
output/predictions/xgboost__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/xgboost__fever_test.csv,2026-09-05T11:24:45.746769+00:00,ff2574f664398c1b34204379977cea2907d1781ca8e988735e1f16a15281746d,1695460,200
output/predictions/xgboost__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/xgboost__finfact_test.csv,2026-09-05T11:24:46.874615+00:00,4fa23f1998f9ec2c285fd884da8236e0570b53ccf07af522f665116139752785,350638,200
output/predictions/xgboost__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/xgboost__sec_synthetic.csv,2026-09-05T11:24:48.035809+00:00,d722382d841e46a4256bfe13a684624a29fc1edf8ebb085cdc9da41632fee2ce,347829,200
output/results/results.json,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/results/results.json,2026-09-05T11:24:49.339675+00:00,2bf8c6054b4c98970d05bd52a0e04efa201ced09a6bc4225b8b837b1b15c9af4,36345,200
output/results/run_metadata.json,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/results/run_metadata.json,2026-09-05T11:24:50.394421+00:00,7b0a09a257d33b0f5bfa97384ea4e74ee22046faa701bd852d06d14b8e0f742a,1288,200
output/results/truncation_rates.json,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/results/truncation_rates.json,2026-09-05T11:24:51.422340+00:00,e8634ab0b609b01118222df310a8557ca4ae02157c1b26156943b067dec60823,112,200
output/tables/ablation_results.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/ablation_results.csv,2026-09-05T11:24:52.919685+00:00,445f73b2b60a92ccbc004948a9ba9623fdb4f7a669571430b069af3f6b4e61ec,783,200
output/tables/dataset_stats.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/dataset_stats.csv,2026-09-05T11:24:53.974873+00:00,aa7437ed3fdf29ad12761e64a9f1472e83ecf8aa2a6485fff0e62b7d0de28715,543,200
output/tables/efficiency.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/efficiency.csv,2026-09-05T11:24:54.826346+00:00,04868b89750ad3902d1a6c4bb6d0263211003dfbae8f4eec7053af56b1a0d27e,607,200
output/tables/error_taxonomy_counts.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/error_taxonomy_counts.csv,2026-09-05T11:24:55.886147+00:00,0984e700ed8e6df0fe171cd17965260b2ca56de55b0bfcc5d7f66f48b2084705,277,200
output/tables/hyperparams.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/hyperparams.csv,2026-09-05T11:24:57.009073+00:00,ee8692740e73ba89ac0183fa2deb3a73f928a8bc1b3158e607e42e4e3882d969,622,200
output/tables/label_mapping_finfact.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/label_mapping_finfact.csv,2026-09-05T11:24:58.086581+00:00,59a88754ecf0b3d854a91b3fba7c8ffcec0c9e34c7b1cd0638604ebe00f495e0,112,200
output/tables/package_versions.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/package_versions.csv,2026-09-05T11:24:59.126822+00:00,a49cbbeb7a1ee94251942bb2ac0f8eee0579080c5324e3588e14349aa5e6cb86,270,200
output/tables/sec_perturbation_accuracy.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/sec_perturbation_accuracy.csv,2026-09-05T11:25:00.116738+00:00,5d8430e53b8f475fc0ab7e011c22ae4f862843e1db66bf9416947e6ab5191a82,349,200
output/tables/sec_perturbation_rules.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/sec_perturbation_rules.csv,2026-09-05T11:25:01.252934+00:00,64bb1944aeaf7f4c4c8aa3c830c5475d835325596fd52d889f59d6293f6571cb,555,200
output/tables/transfer_results.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/tables/transfer_results.csv,2026-09-05T11:25:02.351539+00:00,c927712c0f0f5588368acdb41d9c389284ae6a238787d36ab3f7a374565f4c32,771,200
requirements.txt,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/requirements.txt,2026-09-05T11:25:03.395665+00:00,242a4c3daf9db4a222951d48fd96e71e1af42975506784703c3206bb1e2185fa,1625,200
src/__init__.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/__init__.py,2026-09-05T11:25:04.856901+00:00,9c2834b3fabfb6d1f28d3c2ccdeb0ac7195a7b701b048f957de53290dced005e,25,200
src/data/__init__.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/data/__init__.py,2026-09-05T11:25:06.254776+00:00,9c2834b3fabfb6d1f28d3c2ccdeb0ac7195a7b701b048f957de53290dced005e,25,200
src/data/build_sec_synthetic.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/data/build_sec_synthetic.py,2026-09-05T11:25:07.240523+00:00,3207452719c2b38f2b81033343ed366ec54e2e6b032b9c66953d12ce71c182e6,17240,200
src/data/eda.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/data/eda.py,2026-09-05T11:25:08.384418+00:00,046a3abc42285f1a6db170d005f10bb830e88cca5b2b44a032ebfb32ef924a29,5876,200
src/data/load_fever.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/data/load_fever.py,2026-09-05T11:25:09.392515+00:00,5494c31fca7c48c5e613a35c232445589402b0979d4545f4dec14c3b2ab0afab,4168,200
src/data/load_finfact.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/data/load_finfact.py,2026-09-05T11:25:10.446958+00:00,be3b8ff27e9acdc61a1fcdf2c329467938684c6432f0fab63639884a4ca00872,5455,200
src/env_check.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/env_check.py,2026-09-05T11:25:11.419529+00:00,284f0fa83a1bfe066b1eb7a629dc24f8dcc4dae4f180a5980d42f75d6df32db4,3703,200
src/eval/__init__.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/eval/__init__.py,2026-09-05T11:25:12.902535+00:00,9c2834b3fabfb6d1f28d3c2ccdeb0ac7195a7b701b048f957de53290dced005e,25,200
src/eval/ablations.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/eval/ablations.py,2026-09-05T11:25:13.993587+00:00,4449327bbf20075d5ae2286f55aaec1c8f21fd4eb2ff1176bc8ac774d984556b,6771,200
src/eval/error_analysis.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/eval/error_analysis.py,2026-09-05T11:25:15.075756+00:00,a4a4d3adda59f303446425b0eddced41e35db20e18a526ecd3b2d93005e75b7b,7642,200
src/eval/harness.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/eval/harness.py,2026-09-05T11:25:15.957732+00:00,bb864d3fa81665e8d39665748caf729131f69aad9d0c58f555441d6c696af207,4600,200
src/eval/transfer_efficiency.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/eval/transfer_efficiency.py,2026-09-05T11:25:16.952952+00:00,e6089f1dc786b9fc010b8a786d0aedd264bc1f9f37d3422598e81eab9bdba078,6058,200
src/features/__init__.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/features/__init__.py,2026-09-05T11:25:18.392950+00:00,9c2834b3fabfb6d1f28d3c2ccdeb0ac7195a7b701b048f957de53290dced005e,25,200
src/features/tfidf.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/features/tfidf.py,2026-09-05T11:25:19.378603+00:00,7196212889709031507c9314a8b700441e2985ee9560d9414db8f54e233f60d9,2547,200
src/models/__init__.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/__init__.py,2026-09-05T11:25:20.838164+00:00,9c2834b3fabfb6d1f28d3c2ccdeb0ac7195a7b701b048f957de53290dced005e,25,200
src/models/bilstm.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/bilstm.py,2026-09-05T11:25:21.736186+00:00,0a064d660a7970a9c09f16f1ed14646a96ccbe5acc9c1338ec06d67526608e6d,9362,200
src/models/classical.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/classical.py,2026-09-05T11:25:22.691256+00:00,dd02ee8ad517fbea09a6a9abcf3f5e5e58e801738f3e932bc66a9dad57e8c104,5580,200
src/models/ensembles.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/ensembles.py,2026-09-05T11:25:23.694262+00:00,3ce9414c35c2b045f329ea7625fc6810b1486ee8229eea803decfff2f88d84ea,15320,200
src/models/extend_logreg_grid.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/extend_logreg_grid.py,2026-09-05T11:25:24.752058+00:00,805c2cd5e9ae4f35f2e7dbcbd61a0cb9082f505c35b521685331fd46299decea,3373,200
src/models/extras.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/extras.py,2026-09-05T11:25:25.579377+00:00,cfee1f65683df8c79cd4a0b2e4d25cb99ce6deba04318778940b24644489e96c,6039,200
src/models/lexical_baseline.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/lexical_baseline.py,2026-09-05T11:25:26.620261+00:00,1bded86e59acf86e17ad8f56633868e51969f3a486264d7b3e6372614b3d1716,4276,200
src/models/resolve_logreg_c.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/resolve_logreg_c.py,2026-09-05T11:25:27.563330+00:00,3d735aef7892394307689aa3b5bbc97c39e776dc5a03cff840ff37685808bb73,2854,200
src/models/rf_balanced_check.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/rf_balanced_check.py,2026-09-05T11:25:28.598878+00:00,bb983d4c0c3ef58acbb9427d9c1fba24b7db302daa02785393b9d150fd8371d7,6185,200
src/models/transformer.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/models/transformer.py,2026-09-05T11:25:29.635835+00:00,56155eabf5e600a06a2ee18ed5a0217a8ff784ea2489edba5a09ba5b1838bfdf,10051,200
src/utils.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/src/utils.py,2026-09-05T11:25:30.712246+00:00,ceea317ff63accbb3325c7b39f09f86b24835e9185e6e2cc21cd29557c2204f5,6884,200
train_distilbert_colab.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/train_distilbert_colab.py,2026-09-05T11:25:31.573923+00:00,7cddc4a2541a7a2c518b979c5e51eb364e2b2eb0b062f7720504f8e04a349bfe,9172,200
